strain,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
F,0,0.2,0.5,2.5,0,0.2,0.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,0,0.2,0.5,2.5,0,0.2,0.5,2.5
G,0,0.2,0.5,2.5,0,0.2,0.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,0,0.2,0.5,2.5,0,0.2,0.5,2.5
H,0,0.2,0.5,2.5,0,0.2,0.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,0,0.2,0.5,2.5,0,0.2,0.5,2.5
I,0,0.2,0.5,2.5,0,0.2,0.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,0,0.2,0.5,2.5,0,0.2,0.5,2.5
J,0,0.2,0.5,2.5,0,0.2,0.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,0,0.2,0.5,2.5,0,0.2,0.5,2.5
K,0,0.2,0.5,2.5,0,0.2,0.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,0,0.2,0.5,2.5,0,0.2,0.5,2.5
L,0,0.2,0.5,2.5,0,0.2,0.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,0,0.2,0.5,2.5,0,0.2,0.5,2.5
M,0,0.2,0.5,2.5,0,0.2,0.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,0,0.2,0.5,2.5,0,0.2,0.5,2.5
N,0,0.2,0.5,2.5,0,0.2,0.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,0,0.2,0.5,2.5,0,0.2,0.5,2.5
O,0,0.2,0.5,2.5,0,0.2,0.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,0,0.2,0.5,2.5,0,0.2,0.5,2.5
P,0,0.2,0.5,2.5,0,0.2,0.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,0,0.2,0.5,2.5,0,0.2,0.5,2.5
,,,,,,,,,,,,,,,,,,,,,,,,
DHBA,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
B,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
C,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
D,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
E,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5
F,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5
G,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5
H,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5
I,50,50,50,50,50,50,50,50,NA,NA,NA,NA,NA,NA,NA,NA,50,50,50,50,50,50,50,50
J,50,50,50,50,50,50,50,50,NA,NA,NA,NA,NA,NA,NA,NA,50,50,50,50,50,50,50,50
K,50,50,50,50,50,50,50,50,NA,NA,NA,NA,NA,NA,NA,NA,50,50,50,50,50,50,50,50
L,50,50,50,50,50,50,50,50,NA,NA,NA,NA,NA,NA,NA,NA,50,50,50,50,50,50,50,50
M,250,250,250,250,250,250,250,250,NA,NA,NA,NA,NA,NA,NA,NA,250,250,250,250,250,250,250,250
N,250,250,250,250,250,250,250,250,NA,NA,NA,NA,NA,NA,NA,NA,250,250,250,250,250,250,250,250
O,250,250,250,250,250,250,250,250,NA,NA,NA,NA,NA,NA,NA,NA,250,250,250,250,250,250,250,250
P,250,250,250,250,250,250,250,250,NA,NA,NA,NA,NA,NA,NA,NA,250,250,250,250,250,250,250,250
,,,,,,,,,,,,,,,,,,,,,,,,
rep,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2
B,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2
C,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2
D,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2
E,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2
F,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2
G,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2
H,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2
I,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2
J,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2
K,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2
L,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2
M,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2
N,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2
O,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2
P,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2
