term,group1,group2,estimate,p.adj,p.adj.signif
interaction_var:strain,100.0:GFC0155,100.5e-06:GFC0165,0.06335113573903572,0.5,ns
interaction_var:strain,100.0:GFC0155,0.0:GFC0166,0.11910939662870706,6.93e-6,****
interaction_var:strain,100.0:GFC0155,100.0:GFC0166,0.10120924419266991,6.8e-4,***
interaction_var:strain,100.0:GFC0155,0.5e-06:GFC0166,0.07277799892054157,0.17,ns
interaction_var:strain,100.0:GFC0155,100.5e-06:GFC0166,0.05487323940580416,0.841,ns
interaction_var:strain,100.0:GFC0155,0.0:GFC0167,0.10624719212837871,2e-4,***
interaction_var:strain,100.0:GFC0155,100.0:GFC0167,-0.03855854714515933,1,ns
interaction_var:strain,100.0:GFC0155,0.5e-06:GFC0167,0.08954738526891992,0.00903,**
interaction_var:strain,100.0:GFC0155,100.5e-06:GFC0167,-0.047338079300946356,0.979,ns
interaction_var:strain,100.0:GFC0155,0.0:GFC0220,0.11507685786102212,2.86e-9,****
interaction_var:strain,100.0:GFC0155,100.0:GFC0220,-0.027575614735731085,1,ns
interaction_var:strain,100.0:GFC0155,0.5e-06:GFC0220,0.09867128631060212,0.00123,**
interaction_var:strain,100.0:GFC0155,100.5e-06:GFC0220,-0.04540689250245246,0.99,ns
interaction_var:strain,100.0:GFC0155,0.0:SV01,0.1494509240000666,5.09e-13,****
interaction_var:strain,100.0:GFC0155,100.0:SV01,0.12989482750772263,7.11e-12,****
interaction_var:strain,100.0:GFC0155,0.5e-06:SV01,0.11944674555369494,6.31e-6,****
interaction_var:strain,100.0:GFC0155,100.5e-06:SV01,0.08740362230313853,0.0139,*
interaction_var:strain,0.5e-06:GFC0155,100.5e-06:GFC0155,-0.10418354663442461,3.32e-4,***
interaction_var:strain,0.5e-06:GFC0155,0.0:GFC0156,0.0016932666710566535,1,ns
interaction_var:strain,0.5e-06:GFC0155,100.0:GFC0156,-0.09805506907995368,0.00142,**
interaction_var:strain,0.5e-06:GFC0155,0.5e-06:GFC0156,-0.019406523712357487,1,ns
interaction_var:strain,0.5e-06:GFC0155,100.5e-06:GFC0156,-0.09863044642354954,0.00124,**
interaction_var:strain,0.5e-06:GFC0155,0.0:GFC0157,-0.002961188768467765,1,ns
interaction_var:strain,0.5e-06:GFC0155,100.0:GFC0157,-0.19315165005434082,5.88e-11,****
interaction_var:strain,0.5e-06:GFC0155,0.5e-06:GFC0157,-0.14249509845864802,7.43e-9,****
interaction_var:strain,0.5e-06:GFC0155,100.5e-06:GFC0157,-0.18108824749992944,5.42e-13,****
interaction_var:strain,0.5e-06:GFC0155,0.0:GFC0158,0.01640366060222645,1,ns
interaction_var:strain,0.5e-06:GFC0155,100.0:GFC0158,0.0020602241601636595,1,ns
interaction_var:strain,0.5e-06:GFC0155,0.5e-06:GFC0158,0.022562032254244302,1,ns
interaction_var:strain,0.5e-06:GFC0155,100.5e-06:GFC0158,-0.03121888021635688,1,ns
interaction_var:strain,0.5e-06:GFC0155,0.0:GFC0159,-0.008948680290542854,1,ns
interaction_var:strain,0.5e-06:GFC0155,100.0:GFC0159,-9.793514210444665e-4,1,ns
interaction_var:strain,0.5e-06:GFC0155,0.5e-06:GFC0159,-0.14310234862996257,6.16e-9,****
interaction_var:strain,0.5e-06:GFC0155,100.5e-06:GFC0159,-0.050815679633613414,0.938,ns
interaction_var:strain,0.5e-06:GFC0155,0.0:GFC0160,0.019992540776130163,1,ns
interaction_var:strain,0.5e-06:GFC0155,100.0:GFC0160,-0.10902681717576877,9.94e-5,****
interaction_var:strain,0.5e-06:GFC0155,0.5e-06:GFC0160,-0.09653710458092774,0.002,**
interaction_var:strain,0.5e-06:GFC0155,100.5e-06:GFC0160,-0.16015321617009048,2.66e-11,****
interaction_var:strain,0.5e-06:GFC0155,0.0:GFC0161,0.017858741463455785,1,ns
interaction_var:strain,0.5e-06:GFC0155,100.0:GFC0161,-0.22731674722706466,6e-14,****
interaction_var:strain,0.5e-06:GFC0155,0.5e-06:GFC0161,-0.006987528741176141,1,ns
interaction_var:strain,0.5e-06:GFC0155,100.5e-06:GFC0161,-0.2347817459832271,0,****
interaction_var:strain,0.5e-06:GFC0155,0.0:GFC0162,0.04207108736376802,0.998,ns
interaction_var:strain,0.5e-06:GFC0155,100.0:GFC0162,-0.0774954018771874,0.0835,ns
interaction_var:strain,0.5e-06:GFC0155,0.5e-06:GFC0162,0.064054591535259775,0.469,ns
interaction_var:strain,0.5e-06:GFC0155,100.5e-06:GFC0162,-0.07406353790085096,0.142,ns
interaction_var:strain,0.5e-06:GFC0155,0.0:GFC0163,0.0399781560092205,0.999,ns
interaction_var:strain,0.5e-06:GFC0155,100.0:GFC0163,-0.05675703054371872,0.777,ns
interaction_var:strain,0.5e-06:GFC0155,0.5e-06:GFC0163,0.04606122996824108,0.987,ns
interaction_var:strain,0.5e-06:GFC0155,100.5e-06:GFC0163,-0.0208408065393057,1,ns
interaction_var:strain,0.5e-06:GFC0155,0.0:GFC0164,-0.0073401206877644065,1,ns
interaction_var:strain,0.5e-06:GFC0155,100.0:GFC0164,-0.15717438993836902,6.99e-11,****
interaction_var:strain,0.5e-06:GFC0155,0.5e-06:GFC0164,-0.09886298220989487,0.00118,**
interaction_var:strain,0.5e-06:GFC0155,100.5e-06:GFC0164,-0.18373392505134234,5.43e-13,****
interaction_var:strain,0.5e-06:GFC0155,0.0:GFC0165,0.04857774806963627,0.968,ns
interaction_var:strain,0.5e-06:GFC0155,100.0:GFC0165,0.01231019182091972,1,ns
interaction_var:strain,0.5e-06:GFC0155,0.5e-06:GFC0165,0.0036485286295314112,1,ns
interaction_var:strain,0.5e-06:GFC0155,100.5e-06:GFC0165,-0.036334921778089724,1,ns
interaction_var:strain,0.5e-06:GFC0155,0.0:GFC0166,0.019423339111581617,1,ns
interaction_var:strain,0.5e-06:GFC0155,100.0:GFC0166,0.0015231866755444634,1,ns
interaction_var:strain,0.5e-06:GFC0155,0.5e-06:GFC0166,-0.026908058596583878,1,ns
interaction_var:strain,0.5e-06:GFC0155,100.5e-06:GFC0166,-0.04481281811132129,0.992,ns
interaction_var:strain,0.5e-06:GFC0155,0.0:GFC0167,0.0065611346112532665,1,ns
interaction_var:strain,0.5e-06:GFC0155,100.0:GFC0167,-0.13824460466228478,2.73e-8,****
interaction_var:strain,0.5e-06:GFC0155,0.5e-06:GFC0167,-0.010138672248205527,1,ns
interaction_var:strain,0.5e-06:GFC0155,100.5e-06:GFC0167,-0.1470241368180718,1.81e-9,****
interaction_var:strain,0.5e-06:GFC0155,0.0:GFC0220,0.015390800343896671,1,ns
interaction_var:strain,0.5e-06:GFC0155,100.0:GFC0220,-0.12726167225285653,2.04e-11,****
interaction_var:strain,0.5e-06:GFC0155,0.5e-06:GFC0220,-0.0010147712065233239,1,ns
interaction_var:strain,0.5e-06:GFC0155,100.5e-06:GFC0220,-0.1450929500195779,3.31e-9,****
interaction_var:strain,0.5e-06:GFC0155,0.0:SV01,0.04976486648294115,0.517,ns
interaction_var:strain,0.5e-06:GFC0155,100.0:SV01,0.030208769990597184,1,ns
interaction_var:strain,0.5e-06:GFC0155,0.5e-06:SV01,0.019760688036569496,1,ns
interaction_var:strain,0.5e-06:GFC0155,100.5e-06:SV01,-0.01228243521398692,1,ns
interaction_var:strain,100.5e-06:GFC0155,0.0:GFC0156,0.10587681330548127,2.19e-4,***
interaction_var:strain,100.5e-06:GFC0155,100.0:GFC0156,0.006128477554470935,1,ns
interaction_var:strain,100.5e-06:GFC0155,0.5e-06:GFC0156,0.08477702292206712,0.0232,*
interaction_var:strain,100.5e-06:GFC0155,100.5e-06:GFC0156,0.005553100210875073,1,ns
interaction_var:strain,100.5e-06:GFC0155,0.0:GFC0157,0.10122235786595685,6.77e-4,***
interaction_var:strain,100.5e-06:GFC0155,100.0:GFC0157,-0.0889681034199162,0.173,ns
interaction_var:strain,100.5e-06:GFC0155,0.5e-06:GFC0157,-0.03831155182422341,1,ns
interaction_var:strain,100.5e-06:GFC0155,100.5e-06:GFC0157,-0.07690470086550483,0.0918,ns
interaction_var:strain,100.5e-06:GFC0155,0.0:GFC0158,0.12058720723665106,4.61e-6,****
interaction_var:strain,100.5e-06:GFC0155,100.0:GFC0158,0.10624377079458827,2e-4,***
interaction_var:strain,100.5e-06:GFC0155,0.5e-06:GFC0158,0.12674557888866891,8.15e-7,****
interaction_var:strain,100.5e-06:GFC0155,100.5e-06:GFC0158,0.07296466641806773,0.166,ns
interaction_var:strain,100.5e-06:GFC0155,0.0:GFC0159,0.09523486634388176,0.00268,**
interaction_var:strain,100.5e-06:GFC0155,100.0:GFC0159,0.10320419521338015,4.22e-4,***
interaction_var:strain,100.5e-06:GFC0155,0.5e-06:GFC0159,-0.03891880199553796,1,ns
interaction_var:strain,100.5e-06:GFC0155,100.5e-06:GFC0159,0.0533678670008112,0.884,ns
interaction_var:strain,100.5e-06:GFC0155,0.0:GFC0160,0.12417608741055478,1.69e-6,****
interaction_var:strain,100.5e-06:GFC0155,100.0:GFC0160,-0.004843270541344161,1,ns
interaction_var:strain,100.5e-06:GFC0155,0.5e-06:GFC0160,0.007646442053496877,1,ns
interaction_var:strain,100.5e-06:GFC0155,100.5e-06:GFC0160,-0.05596966953566587,0.805,ns
interaction_var:strain,100.5e-06:GFC0155,0.0:GFC0161,0.1220422880978804,1.07e-7,****
interaction_var:strain,100.5e-06:GFC0155,100.0:GFC0161,-0.12313320059264005,2.27e-6,****
interaction_var:strain,100.5e-06:GFC0155,0.5e-06:GFC0161,0.09719601789324847,0.00172,**
interaction_var:strain,100.5e-06:GFC0155,100.5e-06:GFC0161,-0.13059819934880246,2.67e-7,****
interaction_var:strain,100.5e-06:GFC0155,0.0:GFC0162,0.14625463399819263,2.3e-9,****
interaction_var:strain,100.5e-06:GFC0155,100.0:GFC0162,0.026688144757237214,1,ns
interaction_var:strain,100.5e-06:GFC0155,0.5e-06:GFC0162,0.1682381381696844,2.29e-12,****
interaction_var:strain,100.5e-06:GFC0155,100.5e-06:GFC0162,0.03012000873357365,1,ns
interaction_var:strain,100.5e-06:GFC0155,0.0:GFC0163,0.1441617026436451,4.43e-9,****
interaction_var:strain,100.5e-06:GFC0155,100.0:GFC0163,0.04742651609070589,0.979,ns
interaction_var:strain,100.5e-06:GFC0155,0.5e-06:GFC0163,0.1502447766026657,6.51e-10,****
interaction_var:strain,100.5e-06:GFC0155,100.5e-06:GFC0163,0.08334274009511891,0.0303,*
interaction_var:strain,100.5e-06:GFC0155,0.0:GFC0164,0.0968434259466602,0.00187,**
interaction_var:strain,100.5e-06:GFC0155,100.0:GFC0164,-0.05299084330394442,0.893,ns
interaction_var:strain,100.5e-06:GFC0155,0.5e-06:GFC0164,0.0053205644245297445,1,ns
interaction_var:strain,100.5e-06:GFC0155,100.5e-06:GFC0164,-0.07955037841691773,0.0594,ns
interaction_var:strain,100.5e-06:GFC0155,0.0:GFC0165,0.15276129470406088,2.91e-10,****
interaction_var:strain,100.5e-06:GFC0155,100.0:GFC0165,0.11649373845534433,1.41e-5,****
interaction_var:strain,100.5e-06:GFC0155,0.5e-06:GFC0165,0.10783207526395602,1.35e-4,***
interaction_var:strain,100.5e-06:GFC0155,100.5e-06:GFC0165,0.06784862485633489,0.318,ns
